CLE;NOM_ESPACE_ENTRETIEN;LABEL;TYPE_DE_GESTION_DIFFERENCIEE;TYPOLOGIE_PATRIMOINE;UTILISATION;X_LONG;Y_LAT;GEOMETRIE
1336;Parc de la Béchade;Ecojardin - Refuge LPO;Classe 2 : Priorité aux usages récréatifs;Parc, jardin et square;;-0,59848036133239;44,8264628940148;POLYGON ((-0.598700443555036 44.8259224568624, -0.598540603062997 44.8258587098855, -0.598539375429037 44.8258594614227, -0.59850468581366 44.8258792518267, -0.598500244689868 44.8258815256856, -0.59848290452844 44.8258889895118, -0.598461592652474 44.8258979949047, -0.598438069372043 44.8259057957827, -0.598421640982812 44.8259112554321, -0.598414532561746 44.82591332686, -0.598391532932165 44.8259189533212, -0.59836764420064 44.8259245123016, -0.598343344801015 44.8259294513769, -0.598302134516058 44.8259327486616, -0.598261028058709 44.8259355930639, -0.59824928466639 44.8259360712563, -0.598196231974598 44.8259353468877, -0.59812688255593 44.825927562311, -0.598114602297267 44.8259249024934, -0.598074548191973 44.82591592404, -0.598107469741518 44.826019902389, -0.598111567510257 44.8260234002303, -0.598032529882472 44.826057102756, -0.598034041650417 44.826059495636, -0.598017184153365 44.8260690182045, -0.598031336616167 44.8260837867735, -0.597960639305897 44.8261172775482, -0.597846438928365 44.8261512421043, -0.597773362746024 44.8261877646668, -0.597579733593245 44.8262855166419, -0.597546867048402 44.8263012984345, -0.597519231451245 44.8263154166785, -0.597521754171513 44.8263177839088, -0.597433972908035 44.8263613428573, -0.597435570473255 44.82636292315, -0.597347437002127 44.8264070312448, -0.597346773603467 44.826406417755, -0.597125570931669 44.826511982297, -0.597040901668016 44.8264661360057, -0.596814345323264 44.8266770098696, -0.596926821826261 44.8268182302056, -0.597650849346511 44.8268310135339, -0.598140516652403 44.8268383054672, -0.598530057386956 44.8268397629175, -0.598735637411095 44.8268340035132, -0.598799568191837 44.8268295889693, -0.598932304122199 44.8268195554584, -0.59937626844438 44.8267607378811, -0.599479334047529 44.8267469548534, -0.599604049836455 44.8267309110295, -0.599805978859629 44.8267053421696, -0.599878506751427 44.826713405225, -0.599899542974591 44.8267165628455, -0.599973794908245 44.8267262028898, -0.599993190565756 44.8266613270556, -0.599996232834515 44.8266513446761, -0.600001297294076 44.8266337470334, -0.600033998117081 44.8265642110167, -0.600119272568753 44.8265312491658, -0.600146438856277 44.826497692176, -0.599835548101867 44.8263740307103, -0.599737675448821 44.826334914977, -0.599448711328421 44.8262195201819, -0.598700443555036 44.8259224568624))
1115;Parc aux Angéliques séquence 1;;Classe 2 : Priorité aux usages récréatifs;Parc, jardin et square;;-0,56363500914887;44,8490860371795;POLYGON ((-0.562434498293604 44.8492913637927, -0.563038797956111 44.8496416152072, -0.562918583161268 44.8497598853789, -0.563509865941279 44.8500874094591, -0.563637605927086 44.8500188344657, -0.563781545690502 44.8498531456396, -0.563878546088886 44.8497364471617, -0.563999601943576 44.849571331859, -0.564067375870062 44.8494753559324, -0.564126095610211 44.8494444388677, -0.56424224559972 44.8493233878785, -0.564259445518046 44.8493128715519, -0.564276086661197 44.8492936349459, -0.56446011524705 44.8491502611544, -0.564547362938944 44.8490513652649, -0.564684282169556 44.8488845906009, -0.564824526348976 44.8487491577899, -0.564614401272691 44.8486903170925, -0.56464989274212 44.8486274763829, -0.564677894821774 44.8485488856853, -0.5647190618239 44.8484498848689, -0.564191068588919 44.8482294631524, -0.564014279441446 44.8484499130461, -0.563734606620583 44.8483311345974, -0.563570174752638 44.8482798805434, -0.563299557438366 44.8485354580218, -0.562978819300205 44.8487809457087, -0.562343109521135 44.8492453906731, -0.562434498293604 44.8492913637927))
1119;Jardin de la Mairie;;Classe 2 : Priorité aux usages récréatifs;Parc, jardin et square;;-0,5804615766991;44,8378156427562;POLYGON ((-0.581297929251778 44.8379848693621, -0.581292134661188 44.8379676368296, -0.58122154921909 44.8377575412401, -0.581209423169832 44.8377224593951, -0.581138057533571 44.8375119332081, -0.581132497899849 44.8374943345572, -0.581119871753291 44.8374568340964, -0.581114833851331 44.8374573213893, -0.58108034035627 44.8374609830953, -0.58107101844357 44.8374618486108, -0.581072069050395 44.8374651537799, -0.581045741972197 44.8374676189326, -0.581045187985801 44.8374641211427, -0.58100565209659 44.8374681801837, -0.581006079684891 44.8374716811628, -0.58097988347868 44.8374742330438, -0.58097908118654 44.8374708315637, -0.580968138534746 44.8374721881884, -0.580925302898158 44.8374760603175, -0.580923037641446 44.8374737762906, -0.580918456101026 44.8374478687858, -0.58091317984058 44.8374207181735, -0.580911842407103 44.8374116573398, -0.580906944348448 44.8374124112314, -0.580906168952218 44.8374095493441, -0.580883877590123 44.8374117325517, -0.580882332187814 44.8374035774177, -0.580629439396523 44.8374282365791, -0.5806328815146 44.8374465189861, -0.580556689912919 44.8374540238444, -0.580555874201694 44.8374503525647, -0.580553756962149 44.837438339905, -0.580404127561272 44.8374527397309, -0.580404385760541 44.837450301995, -0.579963045046616 44.8374925895839, -0.579950133796936 44.8374950763049, -0.579946229911198 44.8374929236327, -0.579941094880753 44.8374635182943, -0.579931177832933 44.8374143335568, -0.579925381115016 44.8373919684366, -0.579924940151109 44.8373881976566, -0.579832217578694 44.8373966592318, -0.579793435545157 44.8374006088003, -0.57970161114419 44.8374093177541, -0.579702431281291 44.8374130789723, -0.579715091747798 44.8374766918255, -0.579717259052785 44.837487172464, -0.579726860421313 44.8375351045416, -0.57972891477455 44.837545858164, -0.579733771944403 44.8375696877098, -0.57974220632421 44.8376119763644, -0.579748137984266 44.8376116466827, -0.579759158254553 44.8376677370912, -0.579764429522275 44.8376947978211, -0.57976699299951 44.8377081499151, -0.579775828059543 44.8377533999545, -0.579780401111864 44.8377766063458, -0.579781923970013 44.837784311832, -0.579788042287648 44.8378156733701, -0.579811336056728 44.837813285008, -0.57983449809282 44.8379327311886, -0.579811077880309 44.8379351227428, -0.579817285832794 44.8379682829227, -0.579818511105135 44.8379750954606, -0.579849388740977 44.8381401800771, -0.579843068875763 44.8381403394625, -0.579844109514318 44.8381459860681, -0.579846835268868 44.8381600544283, -0.579850114946304 44.8381776205829, -0.579855615745209 44.838206746557, -0.57985682310603 44.8382131993649, -0.57985767910626 44.8382176800387, -0.579866644241202 44.8382655380971, -0.579867486802267 44.838269748974, -0.579868540886252 44.8382756653759, -0.579880952455304 44.8383418957873, -0.579881623817561 44.8383452105293, -0.579974442918769 44.8383361162043, -0.580013108122731 44.8383323496288, -0.580104148654199 44.8383231199656, -0.580103220003617 44.8383197216686, -0.580099305652973 44.8382970389487, -0.580090011357579 44.8382476584369, -0.58008514690617 44.8382186064667, -0.580088642169183 44.8382150965905, -0.580100243851023 44.8382142637029, -0.580936943752401 44.8381337276073, -0.580932627490333 44.8381106048194, -0.580998874860125 44.8381041610343, -0.581003439460283 44.8381271875095, -0.581056699304418 44.8381217016802, -0.581101539830847 44.8381174187494, -0.581097479884611 44.8380969008125, -0.581087815449861 44.8380451885175, -0.581089310700828 44.8380421792969, -0.58114407825925 44.8380364752939, -0.581154930473116 44.8380358412997, -0.581154196290998 44.8380312675139, -0.581179882668494 44.8380286384185, -0.581180874128927 44.838033295758, -0.581223182156464 44.838028986631, -0.581222326054404 44.8380245059669, -0.581248269702138 44.83802196041, -0.581249378600055 44.8380264346954, -0.581259210670362 44.838025646341, -0.581305170751364 44.8380209748989, -0.581309842956799 44.8380207669624, -0.581297929251778 44.8379848693621))
1117;Parc Chantecrit;;Classe 2 : Priorité aux usages récréatifs;Parc, jardin et square;Promenade, jeux d'enfants, aire multisports;-0,56352782729974;44,8634384524561;POLYGON ((-0.564028129633717 44.8629767229793, -0.563960207333767 44.863026599298, -0.563889230601464 44.863078713199, -0.563759245619466 44.8631740866612, -0.563439814340644 44.8629544637594, -0.562944901073386 44.8633045324392, -0.562733884978954 44.8631725042451, -0.562602739249852 44.8632649340011, -0.562501074620616 44.8633365451081, -0.563308637291156 44.8639046512303, -0.563494994314282 44.8640372065218, -0.563551764139798 44.8639998560395, -0.563776582038498 44.8638406056951, -0.563753715518952 44.8638288429592, -0.564040197063285 44.8636109584728, -0.564057606606323 44.8636250190186, -0.564494394504515 44.8632952222294, -0.564028129633717 44.8629767229793))
1161;Parc des Berges de Garonne;Ecojardin - Refuge LPO;Classe 3 : Priorité à la biodiversité;Parc, jardin et square;Promenade;-0,53980293808487;44,8856333789349;POLYGON ((-0.54058132877659 44.8893531139258, -0.541034133500199 44.8893217780006, -0.540961661715403 44.8878486936395, -0.539981986556761 44.8877595930928, -0.540135938031196 44.8869237796197, -0.53994983967398 44.8867968536999, -0.540091244338154 44.8861180247258, -0.540109895450969 44.8860311208819, -0.541293539563197 44.886147563243, -0.541341517750875 44.8858870492877, -0.539959208412068 44.8857485327268, -0.540092755022318 44.8850644961757, -0.539871162475507 44.8844217014085, -0.539930127890682 44.8829885675986, -0.54020282915603 44.8829709842715, -0.541640325988836 44.8831513442062, -0.541711289189401 44.8832036046293, -0.541731293595414 44.8829924085489, -0.540014996890879 44.8827055269135, -0.539884558677676 44.8825795586097, -0.540015791185975 44.8817069403961, -0.540072603026544 44.8810104931055, -0.540016323863034 44.880831807746, -0.540082752162927 44.8806528635604, -0.539615029401441 44.8805571586749, -0.539608189411021 44.8806086526872, -0.539540149463598 44.8806157462007, -0.539496469658759 44.8806546494405, -0.539479202313071 44.8807748345958, -0.539397966375388 44.8808921973905, -0.539378881376074 44.8809882963974, -0.53935182115685 44.8810818923227, -0.539331894250434 44.8811582930125, -0.539247719433095 44.8812983292607, -0.539235997694748 44.8814617768104, -0.539212526987736 44.8816283976466, -0.539265404209855 44.8816580581505, -0.539342199330788 44.8816899155699, -0.53942628445426 44.8817103365152, -0.539522118544243 44.8817275840703, -0.539386860961509 44.8818744724757, -0.539507681240796 44.8819980691131, -0.539478631665649 44.8821310628468, -0.539383708231284 44.8822122085916, -0.539297042817802 44.8823016129937, -0.539184047981591 44.882417063434, -0.53909516702688 44.8824614116514, -0.53902698125551 44.8825222635249, -0.539002452967288 44.8825875231666, -0.53906063607813 44.8826452350931, -0.539137843545326 44.8826854563282, -0.539218150139006 44.8827088526846, -0.539309374699808 44.8827121684302, -0.539407341048897 44.882692896098, -0.539504197495567 44.8826510507082, -0.539618513349083 44.8826397457957, -0.539704952422676 44.8827080104416, -0.539710754066991 44.8828260014317, -0.539648559340754 44.8829288444507, -0.539574889381486 44.883040436559, -0.539517168300396 44.8831544235631, -0.539432018303451 44.8832746747574, -0.539340202536962 44.8833417866402, -0.53905294035353 44.8835346813005, -0.539013709126342 44.8836229067725, -0.53897839479554 44.8837109448626, -0.539002954463575 44.8838060492806, -0.539049331981852 44.883945632583, -0.539113781161629 44.884050911046, -0.539153737952502 44.8841371689029, -0.539175450202498 44.8843392238608, -0.539151425511619 44.8844946029715, -0.539115425574193 44.8845687015942, -0.538974581025567 44.8846819622423, -0.538894306828065 44.8848190196251, -0.538860512366612 44.8849379942805, -0.538817857649038 44.8851163465966, -0.5387647442168 44.885244265107, -0.538832415665651 44.8853326257987, -0.538895060534266 44.885398600856, -0.538952830756898 44.8854478591531, -0.538986251133682 44.8854835858298, -0.538960884272664 44.8855292370458, -0.53891257669633 44.8855951773984, -0.539036067898732 44.8856905250224, -0.539085999806885 44.8857400680492, -0.539274316580248 44.8857859924684, -0.539392191474532 44.8859293815888, -0.539343141645488 44.8860600806992, -0.539201789662728 44.8860832221304, -0.539094320816088 44.8860690545472, -0.538993131789038 44.8861053343918, -0.538998658223461 44.8862177494636, -0.539005343055892 44.8862738595633, -0.538992430398251 44.8863332478681, -0.53898956097038 44.8864346162908, -0.539015012188343 44.8864705409545, -0.53903345138358 44.8865235677065, -0.539064197599116 44.8865847526153, -0.539076608061583 44.8866774575369, -0.539055725606486 44.8867370438546, -0.539119477576436 44.8868255017596, -0.53907535432331 44.8868941294561, -0.539085907983809 44.8870289300558, -0.539088671331099 44.8870851375686, -0.539087048857907 44.8872118667903, -0.539084464232754 44.8873216019984, -0.539098400266432 44.8874453334315, -0.539092290170836 ...
1165;Square Bertrand de Goth;;Classe 2 : Priorité aux usages récréatifs;Parc, jardin et square;;-0,5775805296348;44,8192322450814;POLYGON ((-0.577948080488032 44.8190991872093, -0.577779924882337 44.8191420562442, -0.577744194216063 44.8191511511888, -0.577716314740025 44.8190968360155, -0.577715755608429 44.819095769561, -0.577701737047995 44.8190682987984, -0.577686469408061 44.8190386083767, -0.577676346440343 44.819041114717, -0.577651492452388 44.8190475942478, -0.577580062511187 44.8190664135783, -0.577505021892801 44.8190864044312, -0.577427359064537 44.8191070916532, -0.577348437092279 44.819127900606, -0.577296991298435 44.8191415336414, -0.577273283383996 44.8191481642921, -0.5772917566259 44.8191736318542, -0.577301006677545 44.8191866354333, -0.577305909029947 44.8191936254842, -0.577346386983162 44.8192494241003, -0.5773309111751 44.8192536861596, -0.577271310251913 44.8192686953359, -0.577201459911004 44.8192862139647, -0.577047041397266 44.8193254940084, -0.577067147217864 44.8193532616474, -0.577104242397884 44.8194046433106, -0.577266450464045 44.8193642663971, -0.577319931595937 44.8193508522161, -0.577400284079563 44.8193308176461, -0.577431638460189 44.8193736094743, -0.57743954892768 44.8193851160308, -0.577456962233734 44.8194096197819, -0.577470564571233 44.8194287268001, -0.577517506475589 44.8194161076862, -0.577581806119438 44.8193989088849, -0.57765549746428 44.8193797624206, -0.577702475093597 44.8193678626955, -0.577763696268789 44.8193523622217, -0.577833180877159 44.8193351226094, -0.577829659423731 44.8193279176744, -0.577799684067663 44.819267082013, -0.577783064286529 44.8192331034914, -0.577858533300876 44.8192140921658, -0.577895649434177 44.8192048722115, -0.577944626199816 44.8191924717525, -0.578122186944182 44.8191479246128, -0.578122002666829 44.8191238870151, -0.578123821429819 44.8190790883666, -0.578124734072779 44.8190542126986, -0.578007672113602 44.8190839978174, -0.577948080488032 44.8190991872093))
1166;Parc Monséjour;Ecojardin - Refuge LPO;Classe 3 : Priorité à la biodiversité;Parc, jardin et square;;-0,63152446326111;44,8541666320585;POLYGON ((-0.631044386701198 44.8543819112707, -0.631070326762052 44.8543891698684, -0.631395783073487 44.8544787003229, -0.631408107315637 44.8544820760141, -0.631346745538971 44.8545951282186, -0.631402474040253 44.854575688991, -0.63247332098712 44.8548673331973, -0.63225500903653 44.8552953454947, -0.632290626874709 44.8553037061448, -0.632437587305361 44.8553382940693, -0.632518306780599 44.8553572931276, -0.632603510728084 44.8553773476281, -0.632678047524675 44.8553942541104, -0.632708027565639 44.8553289210723, -0.632650506984671 44.8553155398772, -0.632422039463364 44.8551540974509, -0.632437888841676 44.8551196529977, -0.632443377498014 44.855115550065, -0.632445886556261 44.8551126041706, -0.632446209788022 44.8551089940068, -0.632445984921164 44.855102066184, -0.632577063432843 44.8548161351583, -0.632637253128726 44.8546850129554, -0.633036403668193 44.8542358786609, -0.633346924881951 44.8543079578582, -0.633419124303734 44.8542039910676, -0.63342507338069 44.8541915019131, -0.633372494964073 44.8541806956017, -0.632625545772842 44.8541099149638, -0.632496906102742 44.8540645917513, -0.632310087899335 44.8540053636712, -0.63212892742639 44.8539453597649, -0.632000278700758 44.8539073300324, -0.631858409304374 44.8538607248163, -0.631765900613538 44.8538114120011, -0.631649738162202 44.8537749524477, -0.631591426484609 44.8537384490622, -0.631427272775551 44.8536792683412, -0.631338328524659 44.8536503043359, -0.631154283062345 44.8535957757746, -0.631031310054457 44.8535548079274, -0.630774137372754 44.8534686575231, -0.630588009662092 44.8534104895889, -0.630458106728295 44.8533701491495, -0.629993339976232 44.8539161364978, -0.629925201979717 44.8540553851799, -0.629955992434431 44.8541783195812, -0.63048003091022 44.8542271010426, -0.630510848961008 44.8542282015142, -0.630530121919036 44.8541938496067, -0.631067160432517 44.8543417064691, -0.631044386701198 44.8543819112707))
1285;Parc des Berges de Queyries;Ecojardin - Refuge LPO;Classe 2 : Priorité aux usages récréatifs;Parc, jardin et square;;-0,5649715593407;44,8463501049228;MULTIPOLYGON (((-0.564554701506791 44.8436297006994, -0.56459704820813 44.8437358813656, -0.564459740820274 44.8437515717327, -0.564601146594053 44.8443676203826, -0.564632567931237 44.8444959558777, -0.564773266275165 44.8451155337009, -0.564859920458386 44.8455231519146, -0.564912630207995 44.8457438790552, -0.564991973253001 44.8460856779992, -0.565006679590184 44.8462189349065, -0.56500140717877 44.8463321629126, -0.564990971398425 44.8463999579993, -0.564938189042174 44.8466501647856, -0.564914700993484 44.8467534045927, -0.564875027976837 44.846869746665, -0.564530757297796 44.8474598888944, -0.564462637731125 44.8475999055829, -0.564404897051442 44.8476913981494, -0.564350834062435 44.8477574959908, -0.564283187386882 44.847827896442, -0.564218670657299 44.8478822805094, -0.563773305750381 44.8482870329794, -0.563737398897776 44.8483210696667, -0.563755567495708 44.8483479875234, -0.564014847517227 44.8484511594193, -0.564186927930016 44.8482301973094, -0.564714118404767 44.8484420849742, -0.564726766152879 44.848446990282, -0.564622467070458 44.84868705327, -0.564830618444898 44.8487469339505, -0.565126873111021 44.8482068899455, -0.565254359551222 44.8479928977527, -0.565385654932991 44.8477510761548, -0.565435920703681 44.847610966584, -0.56547266551261 44.8474687650392, -0.565519672532111 44.8473191024252, -0.565568533641031 44.8471787578674, -0.565621591757004 44.8469826605398, -0.565677878829789 44.8467700040162, -0.56574732277053 44.8465189285001, -0.565731459525418 44.8463700329651, -0.565636261226952 44.84611444463, -0.565650655007692 44.8460039591328, -0.565674975084287 44.8458741351243, -0.565570269401465 44.8455901511612, -0.565410051607697 44.8452995460491, -0.565420514998402 44.8451863677927, -0.565406517670984 44.8450444488094, -0.565378872825508 44.8449310561657, -0.565320439819779 44.8448221278491, -0.565242402451552 44.8446802849014, -0.565138743323301 44.8444403059926, -0.565043225374115 44.8442138995361, -0.564830192302609 44.8438534835788, -0.564788810201107 44.8437488995916, -0.564693884751685 44.8435956841278, -0.564527756741713 44.8436325376734, -0.564554701506791 44.8436297006994)), ((-0.563535303787046 44.8421679137803, -0.563611329626721 44.842253980711, -0.563770930302562 44.842432858535, -0.563868588062786 44.8425570118771, -0.563998784652698 44.8427401385753, -0.564097143065824 44.8428784111419, -0.564163442854968 44.8429699442501, -0.564360937187048 44.8432621372703, -0.564439361901523 44.8433991086757, -0.564510366073466 44.8435344652828, -0.564622402233441 44.8435017600756, -0.56453730325345 44.843380804035, -0.564454206883138 44.8432491724541, -0.564364352487045 44.8431318473125, -0.564222856567156 44.8429097450329, -0.564081327936019 44.8427329357749, -0.564007874386891 44.8426323975071, -0.563959219716811 44.8425240336751, -0.56376126875241 44.8423298198308, -0.563646171711258 44.842185753692, -0.563585496067774 44.8421463950995, -0.563532354676374 44.8421696985795, -0.563535303787046 44.8421679137803)))
1126;Aire de jeux du Parc du Port de la Lune;;Classe 2 : Priorité aux usages récréatifs;Parc, jardin et square;Aire multisports et Jeux d'enfants;-0,54285074157771;44,8769884542364;POLYGON ((-0.543322099400856 44.8769123457789, -0.543193854492666 44.8768616919587, -0.542417593585713 44.8767644923531, -0.542331043275201 44.8768997282495, -0.542314742265697 44.8769338996801, -0.542297375554117 44.8769721495267, -0.542344516253218 44.8769856536594, -0.54252209990703 44.8770378721883, -0.54250290686265 44.8770776081836, -0.543153112153198 44.8772508786494, -0.543175241132739 44.8772064773154, -0.543251787156249 44.8772307747458, -0.543322099400856 44.8769123457789))
1351;Parc de la Cité des Aubiers;;Classe 2 : Priorité aux usages récréatifs;Parc, jardin et square;;-0,57124378012408;44,872849410881;POLYGON ((-0.571685720814041 44.8732153358645, -0.571684233300582 44.8732006961376, -0.571652526119753 44.8729016477099, -0.571626113929497 44.8726530707009, -0.571621376183377 44.8726087082083, -0.571610116895439 44.8725019292768, -0.571608687531725 44.8724884586517, -0.571228010667778 44.8725082906975, -0.571215969114208 44.8723959486936, -0.571181979504609 44.8723974331539, -0.57112904594847 44.8723999339153, -0.571028730172382 44.8724045257382, -0.571015472983859 44.8724053090876, -0.570897364890758 44.872411158278, -0.570832095171702 44.8724151394437, -0.570791573697161 44.8724176883493, -0.570798271782029 44.8724862233447, -0.570802370277603 44.8725253793888, -0.570821308517572 44.8727051708859, -0.570826383950876 44.8727079247541, -0.571275394401585 44.8726845759625, -0.571288510996172 44.8728058052554, -0.57083861431209 44.8728291763416, -0.570881177177853 44.8732448287354, -0.570906316393784 44.873256352953, -0.571685720814041 44.8732153358645))
